"country","day","term","rank","repetitions"
"2502","Japan","2024-06-28","電動スーツケース 免許",2,188
"2503","Japan","2024-06-28","ラウール",3,188
"2504","Japan","2024-06-28","円安",4,188
"2505","Japan","2024-06-28","フリード",5,188
"2506","Malaysia","2024-06-03","Inter Miami vs St. Louis",2,16
"2507","Malaysia","2024-06-03","Mbappe",3,16
"2508","Malaysia","2024-06-03","Papua New Guinea vs West Indies",4,16
"2509","Malaysia","2024-06-03","Dortmund",5,16
"2510","Malaysia","2024-06-04","Sri Lanka vs South Africa",1,16
"2511","Malaysia","2024-06-04","Benjamin Netanyahu",2,16
"2512","Malaysia","2024-06-04","Venom: The Last Dance",3,16
"2513","Malaysia","2024-06-04","Lai Pei Jing",4,16
"2514","Malaysia","2024-06-04","Jose Mourinho",5,16
"2515","Malaysia","2024-06-05","India election 2024 result",1,16
"2516","Malaysia","2024-06-05","England vs Bosnia and Herzegovina",2,16
"2517","Malaysia","2024-06-05","Arsenal",3,16
"2518","Malaysia","2024-06-05","Berkshire Hathaway",4,16
"2519","Malaysia","2024-06-05","ChatGPT down",5,16
"2520","Malaysia","2024-06-06","World Cup qualifiers",1,16
"2521","Malaysia","2024-06-06","Leong Jun Hao",2,16
"2522","Malaysia","2024-06-06","QS Ranking 2025",3,16
"2523","Malaysia","2024-06-06","Under Paris",4,16
"2524","Malaysia","2024-06-06","AI",5,16
"2525","Malaysia","2024-06-07","Australia vs Oman",1,16
"2526","Malaysia","2024-06-07","Kyrgyzstan",2,16
"2527","Malaysia","2024-06-07","Celtics vs Mavericks",3,16
"2528","Malaysia","2024-06-07","Nvidia",4,16
"2529","Malaysia","2024-06-07","Mirra Andreeva",5,16
"2530","Malaysia","2024-06-08","Pakistan vs United States",1,16
"2531","Malaysia","2024-06-08","Malaysia",2,16
"2532","Malaysia","2024-06-08","Canada vs Ireland",3,16
"2533","Malaysia","2024-06-08","H5N2 avian influenza",4,16
"2534","Malaysia","2024-06-08","Barry Keoghan",5,16
"2535","Malaysia","2024-06-09","Afghanistan vs New Zealand",1,16
"2536","Malaysia","2024-06-09","England vs Iceland",2,16
"2537","Malaysia","2024-06-09","Netherlands vs South Africa",3,16
"2538","Malaysia","2024-06-09","F1",4,16
"2539","Malaysia","2024-06-09","Australia vs England",5,16
"2540","Malaysia","2024-06-10","Dragon Boat Festival",1,32
"2541","Malaysia","2024-06-10","India vs Pakistan",2,32
"2542","Malaysia","2024-06-10","Diesel price Malaysia",3,32
"2543","Malaysia","2024-06-10","Mexico vs Brazil",4,32
"2544","Malaysia","2024-06-10","Portugal",5,32
"2545","Malaysia","2024-06-11","WhatsApp",1,32
"2546","Malaysia","2024-06-11","South Africa vs Bangladesh",2,32
"2547","Malaysia","2024-06-11","Carlos Alcaraz",3,32
"2548","Malaysia","2024-06-11","Benny Gantz Israel",4,32
"2549","Malaysia","2024-06-11","Keith Foo",5,32
"2550","Malaysia","2024-06-12","Malaysia",1,32
"2551","Malaysia","2024-06-12","iOS 18",2,32
"2552","Malaysia","2024-06-12","Ben Potter",3,32
"2553","Malaysia","2024-06-12","Malawi",4,32
"2554","Malaysia","2024-06-12","Salmonella",5,32
"2555","Malaysia","2024-06-13","Indonesia",1,32
"2556","Malaysia","2024-06-13","Malaysia",2,32
"2557","Malaysia","2024-06-13","iOS 18",3,32
"2558","Malaysia","2024-06-13","Ben Potter",4,32
"2559","Malaysia","2024-06-13","Malawi",5,32
"2560","Malaysia","2024-06-14","Germany vs Scotland",1,32
"2561","Malaysia","2024-06-14","Faisal Halim",2,32
"2562","Malaysia","2024-06-14","Bangladesh vs Netherlands",3,32
"2563","Malaysia","2024-06-14","Inside Out 2",4,32
"2564","Malaysia","2024-06-14","Anthony Wong",5,32
"2565","Malaysia","2024-06-15","Euro 2024",1,32
"2566","Malaysia","2024-06-15","UEFA Euro",2,32
"2567","Malaysia","2024-06-15","Genting fire",3,32
"2568","Malaysia","2024-06-15","United States vs Ireland",4,32
"2569","Malaysia","2024-06-15","Papua New Guinea vs Afghanistan",5,32
"2570","Malaysia","2024-06-16","Father Day 2024",1,32
"2571","Malaysia","2024-06-16","Spain vs Croatia",2,32
"2572","Malaysia","2024-06-16","Happy Father's Day 2024",3,32
"2573","Malaysia","2024-06-16","Italy vs Albania",4,32
"2574","Malaysia","2024-06-16","South Africa vs Nepal",5,32
"2575","Malaysia","2024-06-17","Serbia vs England",1,48
"2576","Malaysia","2024-06-17","Poland vs Netherlands",2,48
"2577","Malaysia","2024-06-17","Eid-ul-Adha 2024",3,48
"2578","Malaysia","2024-06-17","Slovenia vs Denmark",5,48
"2579","Malaysia","2024-06-18","Bangladesh vs Nepal",1,48
"2580","Malaysia","2024-06-18","France vs Austria",2,48
"2581","Malaysia","2024-06-18","Belgium vs Slovakia",3,48
"2582","Malaysia","2024-06-18","Happy Father's Day",4,48
"2583","Malaysia","2024-06-18","Romania vs Ukraine",5,48
"2584","Malaysia","2024-06-19","Portugal vs Czechia",1,48
"2585","Malaysia","2024-06-19","Turkey vs Georgia",2,48
"2586","Malaysia","2024-06-19","West Indies vs Afghanistan",3,48
"2587","Malaysia","2024-06-19","BRICS",4,48
"2588","Malaysia","2024-06-19","NBA Finals",5,48
"2589","Malaysia","2024-06-20","Germany vs Hungary",1,48
"2590","Malaysia","2024-06-20","Croatia vs Albania",2,48
"2591","Malaysia","2024-06-20","Scotland vs Switzerland",3,48
"2592","Malaysia","2024-06-20","South Africa vs United States",4,48
"2593","Malaysia","2024-06-20","Vladimir Putin",5,48
"2594","Malaysia","2024-06-21","Argentina vs Canada",1,48
"2595","Malaysia","2024-06-21","Denmark vs England",2,48
"2596","Malaysia","2024-06-21","Spain vs Italy",3,48
"2597","Malaysia","2024-06-21","India vs Afghanistan",4,48
"2598","Malaysia","2024-06-21","Slovenia vs Serbia",5,48
"2599","Malaysia","2024-06-22","Netherlands vs France",1,48
"2600","Malaysia","2024-06-22","Poland vs Austria",2,48
"2601","Malaysia","2024-06-22","Slovakia vs Ukraine",3,48
"2602","Malaysia","2024-06-22","South Africa vs England",4,48
"2603","Malaysia","2024-06-22","Vijay",5,48
"2604","Malaysia","2024-06-23","Türkiye vs Portugal",1,48
"2605","Malaysia","2024-06-23","India vs Bangladesh",2,48
"2606","Malaysia","2024-06-23","Belgium vs Romania",3,48
"2607","Malaysia","2024-06-23","Georgia vs Czechia",4,48
"2608","Malaysia","2024-06-23","F1",5,48
"2609","Malaysia","2024-06-24","Switzerland vs Germany",1,64
"2610","Malaysia","2024-06-24","Afghanistan vs Australia",2,64
"2611","Malaysia","2024-06-24","United States vs England",3,64
"2612","Malaysia","2024-06-24","Scotland vs Hungary",4,64
"2613","Malaysia","2024-06-24","UFC",5,64
"2614","Malaysia","2024-06-25","Gmail",1,64
"2615","Malaysia","2024-06-25","WhatsApp",2,64
"2616","Malaysia","2024-06-25","Brazil vs Costa Rica",3,64
"2617","Malaysia","2024-06-25","India vs Australia",4,64
"2618","Malaysia","2024-06-25","Croatia vs Italy",5,64
"2619","Malaysia","2024-06-26","Afghanistan vs Bangladesh",1,64
"2620","Malaysia","2024-06-26","England vs Slovenia",2,64
"2621","Malaysia","2024-06-26","France vs Poland",3,64
"2622","Malaysia","2024-06-26","Netherlands vs Austria",4,64
"2623","Malaysia","2024-06-26","Denmark vs Serbia",5,64
"2624","Malaysia","2024-06-27","Georgia vs Portugal",1,64
"2625","Malaysia","2024-06-27","India vs England",2,64
"2626","Malaysia","2024-06-27","Chile vs Argentina",3,64
"2627","Malaysia","2024-06-27","Ukraine vs Belgium",4,64
"2628","Malaysia","2024-06-27","Kalki",5,64
"2629","Malaysia","2024-06-28","India vs England",1,64
"2630","Malaysia","2024-06-28","Afghanistan vs South Africa",2,64
"2631","Malaysia","2024-06-28","A Quiet Place: Day One",3,64
"2632","Malaysia","2024-06-28","NBA Draft 2024",4,64
"2633","Malaysia","2024-06-28","Bruno Mars",5,64
"2634","Mexico","2024-06-03","Elecciones generales mexico",1,32
"2635","Mexico","2024-06-03","INE",2,32
"2636","Mexico","2024-06-03","Conteo de votos",3,32
"2637","Mexico","2024-06-03","Quien gano las elecciones en mexico 2024",4,32
"2638","Mexico","2024-06-03","PREP Nuevo leon",5,32
"2639","Mexico","2024-06-04","Dolar a peso",1,32
"2640","Mexico","2024-06-04","Precio del dolar",2,32
"2641","Mexico","2024-06-04","Dolar hoy",3,32
"2642","Mexico","2024-06-04","Becas Benito juarez",4,32
"2643","Mexico","2024-06-04","Rosalinda López Hernández",5,32
"2644","Mexico","2024-06-05","Mexico vs Uruguay",1,32
"2645","Mexico","2024-06-05","Portugal - Finlandia",2,32
"2646","Mexico","2024-06-05","México vs Uruguay",3,32
"2647","Mexico","2024-06-05","Hunter Biden",4,32
"2648","Mexico","2024-06-05","Peso mexicano dólar hoy",5,32
"2649","Mexico","2024-06-06","México  Uruguay",1,32
"2650","Mexico","2024-06-06","Mexico vs Brasil",2,32
"2651","Mexico","2024-06-06","Locomotora La Emperatriz",3,32
"2652","Mexico","2024-06-06","Mexico vs Francia",4,32
"2653","Mexico","2024-06-06","Mexico",5,32
"2654","Mexico","2024-06-07","Jeanne Córdova",1,32
"2655","Mexico","2024-06-07","Celtics  Mavericks",2,32
"2656","Mexico","2024-06-07","Gabito Ballesteros",3,32
"2657","Mexico","2024-06-07","PRD",4,32
"2658","Mexico","2024-06-07","Virlan garcia",5,32
"2659","Mexico","2024-06-08","Mexico vs Brasil",1,32
"2660","Mexico","2024-06-08","F1",2,32
"2661","Mexico","2024-06-08","Ludoviquito Peluche actor",3,32
"2662","Mexico","2024-06-08","Formula 1",4,32
"2663","Mexico","2024-06-08","México sub-23  Arabia Saudita sub-23",5,32
"2664","Mexico","2024-06-09","Argentina  Ecuador",1,32
"2665","Mexico","2024-06-09","Mexico",2,32
"2666","Mexico","2024-06-09","Estados Unidos  Colombia",3,32
"2667","Mexico","2024-06-09","Portugal - Croacia",4,32
"2668","Mexico","2024-06-09","Formula 1",5,32
"2669","Mexico","2024-06-10","NBA",1,64
"2670","Mexico","2024-06-10","F1",2,64
"2671","Mexico","2024-06-10","Paris Jackson",3,64
"2672","Mexico","2024-06-10","Carlos Alcaraz",4,64
"2673","Mexico","2024-06-10","Vinicius",5,64
"2674","Mexico","2024-06-11","Festival del Barco del Dragón",1,64
"2675","Mexico","2024-06-11","Christian Nodal",2,64
"2676","Mexico","2024-06-11","Pato Levy",3,64
"2677","Mexico","2024-06-11","Apple",4,64
"2678","Mexico","2024-06-11","Rania de Jordania",5,64
"2679","Mexico","2024-06-12","Portugal - Irlanda",1,64
"2680","Mexico","2024-06-12","Alfredo Alegría",2,64
"2681","Mexico","2024-06-12","Pago Pensión Bienestar adultos mayores",3,64
"2682","Mexico","2024-06-12","Martes de Frescura 11 de junio 2024",4,64
"2683","Mexico","2024-06-12","Jordan Bardella",5,64
"2684","Mexico","2024-06-13","Portugal - Irlanda",1,64
"2685","Mexico","2024-06-13","Alfredo Alegría",2,64
"2686","Mexico","2024-06-13","Pago Pensión Bienestar adultos mayores",3,64
"2687","Mexico","2024-06-13","Martes de Frescura 11 de junio 2024",4,64
"2688","Mexico","2024-06-13","Jordan Bardella",5,64
"2689","Mexico","2024-06-14","NBA",1,64
"2690","Mexico","2024-06-14","San Antonio de Padua",2,64
"2691","Mexico","2024-06-14","Bridgerton",3,64
"2692","Mexico","2024-06-14","The Boys",4,64
"2693","Mexico","2024-06-14","Enrique Graue",5,64
"2694","Mexico","2024-06-15","Argentina - Guatemala",1,64
"2695","Mexico","2024-06-15","Feliz dia del Padre",2,64
"2696","Mexico","2024-06-15","España vs Croacia",3,64
"2697","Mexico","2024-06-15","Copa america",4,64
"2698","Mexico","2024-06-15","Donde ver la Eurocopa",5,64
"2699","Mexico","2024-06-16","Feliz dia del padre",1,64
"2700","Mexico","2024-06-16","Italia vs Albania",2,64
"2701","Mexico","2024-06-16","España  Croacia",3,64
"2702","Mexico","2024-06-16","Gervonta Davis",4,64
"2703","Mexico","2024-06-16","Polonia vs paises Bajos",5,64
"2704","Mexico","2024-06-17","Día del Padre",1,96
"2705","Mexico","2024-06-17","Inglaterra vs",2,96
"2706","Mexico","2024-06-17","Frases para papa",3,96
"2707","Mexico","2024-06-17","La Casa del dragon",4,96
"2708","Mexico","2024-06-17","Ovidio guzman",5,96
"2709","Mexico","2024-06-18","Aviso de tormenta tropical",1,96
"2710","Mexico","2024-06-18","Francia vs",2,96
"2711","Mexico","2024-06-18","NBA",3,96
"2712","Mexico","2024-06-18","Clima Monterrey",4,96
"2713","Mexico","2024-06-18","Chapo guzman",5,96
"2714","Mexico","2024-06-19","Clima",1,96
"2715","Mexico","2024-06-19","Portugal vs",2,96
"2716","Mexico","2024-06-19","Aviso de tormenta tropical",3,96
"2717","Mexico","2024-06-19","Croacia  Albania",4,96
"2718","Mexico","2024-06-19","Turquia vs Georgia",5,96
"2719","Mexico","2024-06-20","Alemania - Hungría",1,96
"2720","Mexico","2024-06-20","Inter Miami  Columbus Crew",2,96
"2721","Mexico","2024-06-20","Tamaulipas",3,96
"2722","Mexico","2024-06-20","Stonehenge",4,96
"2723","Mexico","2024-06-20","Ana barbara",5,96
"2724","Mexico","2024-06-21","Copa america",1,96
"2725","Mexico","2024-06-21","Argentina vs canada",2,96
"2726","Mexico","2024-06-21","Países Bajos - Francia",3,96
"2727","Mexico","2024-06-21","Dinamarca  Inglaterra",4,96
"2728","Mexico","2024-06-21","Donald Sutherland",5,96
"2729","Mexico","2024-06-22","Peru vs Chile",1,96
"2730","Mexico","2024-06-22","España vs Italia",2,96
"2731","Mexico","2024-06-22","Cruz Azul",3,96
"2732","Mexico","2024-06-22","F1",4,96
"2733","Mexico","2024-06-22","Polonia vs Austria",5,96
"2734","Mexico","2024-06-23","Portugal vs",1,96
"2735","Mexico","2024-06-23","Suiza  Alemania",2,96
"2736","Mexico","2024-06-23","Belgica vs Rumania",3,96
"2737","Mexico","2024-06-23","Mexico FC",4,96
"2738","Mexico","2024-06-23","Julian Quiñones",5,96
"2739","Mexico","2024-06-24","Temblor hoy",1,128
"2740","Mexico","2024-06-24","Uruguay vs panama",2,128
"2741","Mexico","2024-06-24","Suiza  Alemania",3,128
"2742","Mexico","2024-06-24","Estados Unidos  Bolivia",4,128
"2743","Mexico","2024-06-24","America",5,128
"2744","Mexico","2024-06-25","Colombia vs Paraguay",1,128
"2745","Mexico","2024-06-25","Tamayo Perry",2,128
"2746","Mexico","2024-06-25","Enrique Peña Nieto",3,128
"2747","Mexico","2024-06-25","Julian Assange",4,128
"2748","Mexico","2024-06-25","Mike Pompeo",5,128
"2749","Mexico","2024-06-26","Chile  Argentina",1,128
"2750","Mexico","2024-06-26","Francia  Polonia",2,128
"2751","Mexico","2024-06-26","Perú  Canadá",3,128
"2752","Mexico","2024-06-26","Inglaterra - Eslovenia",4,128
"2753","Mexico","2024-06-26","Países Bajos - Austria",5,128
"2754","Mexico","2024-06-27","Georgia  Portugal",1,128
"2755","Mexico","2024-06-27","Ecuador  Jamaica",2,128
"2756","Mexico","2024-06-27","Bolivia",3,128
"2757","Mexico","2024-06-27","Mexico",4,128
"2758","Mexico","2024-06-27","Ucrania  Bélgica",5,128
"2759","Mexico","2024-06-28","Panamá  Estados Unidos",1,128
"2760","Mexico","2024-06-28","Uruguay  Bolivia",2,128
"2761","Mexico","2024-06-28","Joe Biden",3,128
"2762","Mexico","2024-06-28","Luz Elena González",4,128
"2763","Mexico","2024-06-28","Un lugar en silencio dia uno",5,128
"2764","Netherlands","2024-06-03","NAC",1,12
"2765","Netherlands","2024-06-03","Excelsior",2,12
"2766","Netherlands","2024-06-03","A12",3,12
"2767","Netherlands","2024-06-03","UFC",4,12
"2768","Netherlands","2024-06-03","Oekraïne",5,12
"2769","Netherlands","2024-06-04","FTI",1,12
"2770","Netherlands","2024-06-04","NAC",2,12
"2771","Netherlands","2024-06-04","Excelsior",3,12
"2772","Netherlands","2024-06-04","A12",4,12
"2773","Netherlands","2024-06-04","UFC",5,12
"2774","Netherlands","2024-06-05","FTI",1,12
"2775","Netherlands","2024-06-05","NAC",2,12
"2776","Netherlands","2024-06-05","Excelsior",3,12
"2777","Netherlands","2024-06-05","A12",4,12
"2778","Netherlands","2024-06-05","UFC",5,12
"2779","Netherlands","2024-06-06","Exitpoll",1,12
"2780","Netherlands","2024-06-06","Stemmen",2,12
"2781","Netherlands","2024-06-06","CDA",3,12
"2782","Netherlands","2024-06-06","FTI",4,12
"2783","Netherlands","2024-06-06","NAC",5,12
"2784","Netherlands","2024-06-07","F1 Canada",1,12
"2785","Netherlands","2024-06-07","Verkiezingen",2,12
"2786","Netherlands","2024-06-07","Nederland",3,12
"2787","Netherlands","2024-06-07","Oranje",4,12
"2788","Netherlands","2024-06-07","Swiatek",5,12
"2789","Netherlands","2024-06-08","GP Canada",1,12
"2790","Netherlands","2024-06-08","Guus Meeuwis",2,12
"2791","Netherlands","2024-06-08","Best Kept Secret",3,12
"2792","Netherlands","2024-06-08","F1 Canada",4,12
"2793","Netherlands","2024-06-08","Verkiezingen",5,12
"2794","Netherlands","2024-06-09","Max Verstappen",1,12
"2795","Netherlands","2024-06-09","Verstappen",2,12
"2796","Netherlands","2024-06-09","Israel",3,12
"2797","Netherlands","2024-06-09","Lieke Klaver",4,12
"2798","Netherlands","2024-06-09","Dag van de bouw",5,12
"2799","Netherlands","2024-06-10","Max Verstappen",1,24
"2800","Netherlands","2024-06-10","Verstappen",2,24
"2801","Netherlands","2024-06-10","Israel",3,24
"2802","Netherlands","2024-06-10","Lieke Klaver",4,24
"2803","Netherlands","2024-06-10","Dag van de bouw",5,24
"2804","Netherlands","2024-06-11","Max Verstappen",1,24
"2805","Netherlands","2024-06-11","Verstappen",2,24
"2806","Netherlands","2024-06-11","Israel",3,24
"2807","Netherlands","2024-06-11","Lieke Klaver",4,24
"2808","Netherlands","2024-06-11","Dag van de bouw",5,24
"2809","Netherlands","2024-06-12","Jill Helena",1,24
"2810","Netherlands","2024-06-12","Frans Bauer",2,24
"2811","Netherlands","2024-06-12","Max Verstappen",3,24
"2812","Netherlands","2024-06-12","Verstappen",4,24
"2813","Netherlands","2024-06-12","Israel",5,24
"2814","Netherlands","2024-06-13","Ali B",1,24
"2815","Netherlands","2024-06-13","Frans Bauer",2,24
"2816","Netherlands","2024-06-13","Max Verstappen",3,24
"2817","Netherlands","2024-06-13","Verstappen",4,24
"2818","Netherlands","2024-06-13","Israel",5,24
"2819","Netherlands","2024-06-14","Ellen ten Damme",1,24
"2820","Netherlands","2024-06-14","Marjolein Faber",2,24
"2821","Netherlands","2024-06-14","Ronnie Flex",3,24
"2822","Netherlands","2024-06-14","Judith Uitermark",4,24
"2823","Netherlands","2024-06-14","Ali B",5,24
"2824","Netherlands","2024-06-15","Ellen ten Damme",1,24
"2825","Netherlands","2024-06-15","Marjolein Faber",2,24
"2826","Netherlands","2024-06-15","Ronnie Flex",3,24
"2827","Netherlands","2024-06-15","Judith Uitermark",4,24
"2828","Netherlands","2024-06-15","Ali B",5,24
"2829","Netherlands","2024-06-16","Hamburg",1,24
"2830","Netherlands","2024-06-16","Marco van Basten",2,24
"2831","Netherlands","2024-06-16","Rafael van der Vaart",3,24
"2832","Netherlands","2024-06-16","Kate Middleton",4,24
"2833","Netherlands","2024-06-16","Ellen ten Damme",5,24
"2834","Netherlands","2024-06-17","Wout Weghorst",1,36
"2835","Netherlands","2024-06-17","Fleur Agema",2,36
"2836","Netherlands","2024-06-17","Virgil van Dijk",3,36
"2837","Netherlands","2024-06-17","Voetbal",4,36
"2838","Netherlands","2024-06-17","Nederland",5,36
"2839","Netherlands","2024-06-18","Mbappe",1,36
"2840","Netherlands","2024-06-18","Miss Nederland 2024",3,36
"2841","Netherlands","2024-06-18","Wout Weghorst",4,36
"2842","Netherlands","2024-06-18","Fleur Agema",5,36
"2843","Netherlands","2024-06-19","Vitesse",1,36
"2844","Netherlands","2024-06-19","Mbappe",2,36
"2845","Netherlands","2024-06-19","Miss Nederland 2024",4,36
"2846","Netherlands","2024-06-19","Wout Weghorst",5,36
"2847","Netherlands","2024-06-20","Jan Cremer",1,36
"2848","Netherlands","2024-06-20","Go Ahead Eagles",2,36
"2849","Netherlands","2024-06-20","Vitesse",3,36
"2850","Netherlands","2024-06-20","Mbappe",4,36
"2851","Netherlands","2024-06-21","KLM Open 2024",1,36
"2852","Netherlands","2024-06-21","Zomer",2,36
"2853","Netherlands","2024-06-21","Jan Cremer",3,36
"2854","Netherlands","2024-06-21","Go Ahead Eagles",4,36
"2855","Netherlands","2024-06-21","Vitesse",5,36
"2856","Netherlands","2024-06-22","Nederland - Frankrijk",1,36
"2857","Netherlands","2024-06-22","Xavi Simons",2,36
"2858","Netherlands","2024-06-22","F1",3,36
"2859","Netherlands","2024-06-22","Nederland",4,36
"2860","Netherlands","2024-06-22","Wijnaldum",5,36
"2861","Netherlands","2024-06-23","Keane",1,36
"2862","Netherlands","2024-06-23","F1",2,36
"2863","Netherlands","2024-06-23","Formule 1",3,36
"2864","Netherlands","2024-06-23","Wijnaldum",5,36
"2865","Netherlands","2024-06-24","Max Verstappen",1,48
"2866","Netherlands","2024-06-24","Dagestan",2,48
"2867","Netherlands","2024-06-24","KLM Open",3,48
"2868","Netherlands","2024-06-24","Ed Sheeran",4,48
"2869","Netherlands","2024-06-24","Hozier",5,48
"2870","Netherlands","2024-06-25","KLM Open",1,48
"2871","Netherlands","2024-06-25","Ed Sheeran",2,48
"2872","Netherlands","2024-06-25","Limp Bizkit",3,48
"2873","Netherlands","2024-06-25","Keane",4,48
"2874","Netherlands","2024-06-25","F1",5,48
"2875","Netherlands","2024-06-26","Joey Veerman",2,48
"2876","Netherlands","2024-06-26","Julian Assange",3,48
"2877","Netherlands","2024-06-26","Virgil van Dijk",4,48
"2878","Netherlands","2024-06-26","Oranje",5,48
"2879","Netherlands","2024-06-27","Bruce Springsteen",1,48
"2880","Netherlands","2024-06-27","Georgie",2,48
"2881","Netherlands","2024-06-27","Belgie",3,48
"2882","Netherlands","2024-06-27","Joey Veerman",5,48
"2883","Netherlands","2024-06-28","Reinier van den Berg",1,48
"2884","Netherlands","2024-06-28","Bunq",2,48
"2885","Netherlands","2024-06-28","Tabak",3,48
"2886","Netherlands","2024-06-28","Smog",4,48
"2887","Netherlands","2024-06-28","Danny de Munk",5,48
"2888","New Zealand","2024-06-03","UFC",1,17
"2889","New Zealand","2024-06-03","T20 World Cup",2,17
"2890","New Zealand","2024-06-03","Deontay Wilder",3,17
"2891","New Zealand","2024-06-03","India vs Bangladesh",4,17
"2892","New Zealand","2024-06-03","Earthquake NZ",5,17
"2893","New Zealand","2024-06-04","GeoNet",1,17
"2894","New Zealand","2024-06-04","Rob Burrow",2,17
"2895","New Zealand","2024-06-04","Peter Beck",3,17
"2896","New Zealand","2024-06-04","GME stock",4,17
"2897","New Zealand","2024-06-04","Earthquake",5,17
"2898","New Zealand","2024-06-05","State of Origin",1,17
"2899","New Zealand","2024-06-05","Bharatiya Janata Party",2,17
"2900","New Zealand","2024-06-05","Keel",3,17
"2901","New Zealand","2024-06-05","Earthquake nz",4,17
"2902","New Zealand","2024-06-05","Joey Essex",5,17
"2903","New Zealand","2024-06-06","Lotto NZ",1,17
"2904","New Zealand","2024-06-06","The Acolyte",3,17
"2905","New Zealand","2024-06-06","Sky Go",4,17
"2906","New Zealand","2024-06-06","Giovanna Fletcher",5,17
"2907","New Zealand","2024-06-07","NRL",1,17
"2908","New Zealand","2024-06-07","Jetstar",2,17
"2909","New Zealand","2024-06-07","GeoNet",3,17
"2910","New Zealand","2024-06-07","Jetstar NZ",4,17
"2911","New Zealand","2024-06-07","Australia vs Oman",5,17
"2912","New Zealand","2024-06-08","Michael Mosley",1,17
"2913","New Zealand","2024-06-08","Chiefs vs Reds",2,17
"2914","New Zealand","2024-06-08","Celtics vs Mavericks",3,17
"2915","New Zealand","2024-06-08","Pakistan vs United States",4,17
"2916","New Zealand","2024-06-08","England vs Iceland",5,17
"2917","New Zealand","2024-06-09","Lotto",1,17
"2918","New Zealand","2024-06-09","Lotto Results",2,17
"2919","New Zealand","2024-06-09","Warriors",3,17
"2920","New Zealand","2024-06-09","Afghanistan vs New Zealand",4,17
"2921","New Zealand","2024-06-09","Highlanders vs Brumbies",5,17
"2922","New Zealand","2024-06-10","India vs Pakistan",1,34
"2923","New Zealand","2024-06-10","F1",2,34
"2924","New Zealand","2024-06-10","Australia vs England",3,34
"2925","New Zealand","2024-06-10","West Indies vs Uganda",4,34
"2926","New Zealand","2024-06-10","Rishi Sunak",5,34
"2927","New Zealand","2024-06-11","NBA",1,34
"2928","New Zealand","2024-06-11","Michael Mosley",2,34
"2929","New Zealand","2024-06-11","Canva",3,34
"2930","New Zealand","2024-06-11","Calculator",4,34
"2931","New Zealand","2024-06-11","Seek",5,34
"2932","New Zealand","2024-06-12","South Africa vs Bangladesh",1,34
"2933","New Zealand","2024-06-12","iOS 18",2,34
"2934","New Zealand","2024-06-12","NHL",3,34
"2935","New Zealand","2024-06-12","Rebecca Grossman",4,34
"2936","New Zealand","2024-06-12","Chelsea Handler",5,34
"2937","New Zealand","2024-06-13","Marokopa",1,34
"2938","New Zealand","2024-06-13","Canada vs Pakistan",2,34
"2939","New Zealand","2024-06-13","Hunter Biden",3,34
"2940","New Zealand","2024-06-13","South Africa vs Bangladesh",4,34
"2941","New Zealand","2024-06-13","iOS 18",5,34
"2942","New Zealand","2024-06-14","Bridgerton",2,34
"2943","New Zealand","2024-06-14","The Boys",3,34
"2944","New Zealand","2024-06-14","Jerry West",4,34
"2945","New Zealand","2024-06-14","T20",5,34
"2946","New Zealand","2024-06-15","Euros",1,34
"2947","New Zealand","2024-06-15","Hurricanes vs Chiefs",2,34
"2948","New Zealand","2024-06-15","Blues vs Brumbies",3,34
"2949","New Zealand","2024-06-15","UFC",4,34
"2950","New Zealand","2024-06-15","U.S. Open golf",5,34
"2951","New Zealand","2024-06-16","NBA",1,34
"2952","New Zealand","2024-06-16","Warriors vs Storm",2,34
"2953","New Zealand","2024-06-16","Uganda vs New Zealand",3,34
"2954","New Zealand","2024-06-16","Chiefs",4,34
"2955","New Zealand","2024-06-16","Trooping the Colour 2024",5,34
"2956","New Zealand","2024-06-17","Father's Day",1,51
"2957","New Zealand","2024-06-17","U.S. Open",2,51
"2958","New Zealand","2024-06-17","House of the Dragon",3,51
"2959","New Zealand","2024-06-17","Father's Day 2024",4,51
"2960","New Zealand","2024-06-17","Scotland vs Australia",5,51
"2961","New Zealand","2024-06-18","England vs Serbia",1,51
"2962","New Zealand","2024-06-18","Marama Davidson",2,51
"2963","New Zealand","2024-06-18","House of the Dragon",3,51
"2964","New Zealand","2024-06-18","Ireland vs Pakistan",4,51
"2965","New Zealand","2024-06-18","Bangladesh vs Nepal",5,51
"2966","New Zealand","2024-06-19","Connor Garden-Bachop",1,51
"2967","New Zealand","2024-06-19","NBA Finals",2,51
"2968","New Zealand","2024-06-19","Papua New Guinea vs New Zealand",3,51
"2969","New Zealand","2024-06-19","West Indies vs Afghanistan",4,51
"2970","New Zealand","2024-06-19","Quantum",5,51
"2971","New Zealand","2024-06-20","Justin Timberlake",1,51
"2972","New Zealand","2024-06-20","Portugal vs Czechia",2,51
"2973","New Zealand","2024-06-20","Vladimir Putin",3,51
"2974","New Zealand","2024-06-20","Nvidia",4,51
"2975","New Zealand","2024-06-20","State of Origin",5,51
"2976","New Zealand","2024-06-21","Northpower outages",1,51
"2977","New Zealand","2024-06-21","West Indies vs England",2,51
"2978","New Zealand","2024-06-21","Hawk Tuah",3,51
"2979","New Zealand","2024-06-21","Scotland vs Switzerland",4,51
"2980","New Zealand","2024-06-21","Sherri Papini",5,51
"2981","New Zealand","2024-06-22","Blues vs Chiefs",1,51
